"Kod";"Nazwa";"Zakres terytorialny";"Miejsce zamieszkania / zameldowania";"Stan na dzień";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2003";1001506;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2004";999531;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2005";997601;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2006";995182;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2007";994096;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2008";993898;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2009";994368;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2010";1020638;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2011";1020673;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2012";1020247;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2013";962678;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2014";961711;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2015";959822;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2016";959244;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2017";959215;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2018";958701;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2019";958098;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2020";951615;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2021";947592;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2022";944218;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2023";941417;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2024";937940;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2025";933996;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"kobiety";"1995";1024562;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"kobiety";"1996";1024975;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"kobiety";"1997";1025538;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"kobiety";"1998";1024910;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"kobiety";"1999";998306;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"kobiety";"2000";998606;"osoba";"";
